,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,day
471,Russia,22232492,13829,395970,32.0,21570255,12618,266267,0,152480,2716,273400000,1875095,145805947,Europe,2023-02-24
472,Turkey,17042722,0,101492,0.0,0,0,0,0,199186,1186,162743369,1902052,85561976,Asia,2023-02-24
473,Spain,13755956,0,119186,0.0,13596016,0,40754,231,294439,2551,471036328,10082298,46719142,Europe,2023-02-24
474,Vietnam,11526881,11,43186,0.0,10614755,15,868940,3,116488,436,85826548,867342,98953541,Asia,2023-02-24
475,Australia,11366361,2961,19373,16.0,11314814,2416,32174,36,436014,743,78835048,3024116,26068792,Australia/Oceania,2023-02-24
476,Argentina,10043308,0,130458,0.0,9908046,456,4804,363,218284,2835,35716069,776264,46010234,South America,2023-02-24
477,Taiwan,9998752,13432,17765,56.0,9628145,23701,352842,0,418558,744,30742304,1286903,23888595,Asia,2023-02-24
478,Netherlands,8591721,0,22992,0.0,8557567,354,11162,53,499186,1336,25984435,1509718,17211447,Europe,2023-02-24
479,Iran,7567560,87,144832,4.0,7339072,66,83656,285,87972,1684,55034937,639771,86022837,Asia,2023-02-24
480,Mexico,7443151,3870,332938,25.0,6680289,2530,429924,0,56575,2531,19551137,148607,131562772,North America,2023-02-24
481,Indonesia,6735269,236,160902,5.0,6570796,226,3571,0,24129,576,114158919,408975,279134505,Asia,2023-02-24
482,Poland,6412259,2655,118860,10.0,5335940,0,957459,696,169907,3149,38246998,1013440,37739785,Europe,2023-02-24
483,Colombia,6359464,0,142615,0.0,6182304,0,34545,342,123454,2769,36951507,717327,51512762,South America,2023-02-24
484,Austria,5884691,0,21853,0.0,5810448,0,52390,72,649044,2410,211273524,23302116,9066710,Europe,2023-02-24
485,Greece,5842655,0,36066,0.0,5796999,1598,9590,115,566333,3496,102228365,9909078,10316637,Europe,2023-02-24
486,Portugal,5566708,0,26117,0.0,5536772,0,3819,61,548954,2575,45968702,4533148,10140570,Europe,2023-02-24
487,Ukraine,5382095,0,111175,0.0,5261929,0,8991,0,124608,2574,32603805,754855,43192122,Europe,2023-02-24
488,Chile,5156519,0,64128,0.0,5087134,0,5257,83,267868,3331,48381989,2513325,19250195,South America,2023-02-24
489,Malaysia,5041811,0,36957,0.0,4995584,0,9270,9,151948,1114,68025327,2050124,33181072,Asia,2023-02-24
490,Israel,4796672,0,12268,0.0,4781252,0,3152,57,514333,1315,41373364,4436346,9326000,Asia,2023-02-24
491,DPRK,4772813,0,74,0.0,4772739,0,0,0,183636,3,0,0,25990679,Asia,2023-02-24
492,Thailand,4727831,0,33902,0.0,4692636,0,1293,0,67465,484,17270775,246450,70078203,Asia,2023-02-24
493,Belgium,4717655,0,33717,0.0,4657469,735,26469,43,404315,2890,36709556,3146099,11668278,Europe,2023-02-24
494,Czechia,4606824,1170,42412,1.0,4554286,1431,10126,37,429069,3950,56985031,5307458,10736784,Europe,2023-02-24
495,Canada,4581763,0,51061,0.0,4492894,1575,37808,99,119353,1330,66343123,1728207,38388419,North America,2023-02-24
496,Peru,4485147,144,219387,9.0,4264065,394,1695,44,133153,6513,37988506,1127784,33684208,South America,2023-02-24
497,Switzerland,4389655,0,14452,0.0,4371249,0,3954,39,500323,1647,23833472,2716487,8773637,Europe,2023-02-24
498,Philippines,4076014,143,66076,13.0,4000601,121,9337,162,36228,587,34562282,307196,112508994,Asia,2023-02-24
499,South Africa,4061085,0,102595,0.0,3912506,0,45984,192,66842,1689,26473049,435726,60756135,Africa,2023-02-24
500,Romania,3335131,0,67675,0.0,3260130,0,7326,115,175244,3556,26603809,1397895,19031335,Europe,2023-02-24
501,Denmark,3174969,62,8244,4.0,3165686,0,1039,19,544130,1413,129190878,22140871,5834950,Europe,2023-02-24
502,Hong Kong,2882936,114,13447,2.0,2834576,4015,34913,28,379119,1768,76127725,10011143,7604299,Asia,2023-02-24
503,Sweden,2697827,0,23633,0.0,2669780,0,4414,9,264002,2313,19469139,1905196,10218971,Europe,2023-02-24
504,Serbia,2488870,0,17791,0.0,2456845,0,14234,23,287630,2056,12358664,1428249,8653016,Europe,2023-02-24
505,Iraq,2465545,0,25375,0.0,2439497,0,673,21,58474,602,19544451,463523,42164965,Asia,2023-02-24
506,Singapore,2222006,0,1722,0.0,2149583,0,70701,1,373852,290,24756666,4165302,5943546,Asia,2023-02-24
507,New Zealand,2207775,0,3864,0.0,2197123,0,6788,0,450732,789,7768604,1586011,4898203,Australia/Oceania,2023-02-24
508,Hungary,2194969,0,48745,0.0,2142682,0,3542,6,228494,5074,11394556,1186160,9606259,Europe,2023-02-24
509,Bangladesh,2037773,0,29445,0.0,1998448,0,9880,0,12138,175,15254399,90862,167885689,Asia,2023-02-24
510,Slovakia,1862590,95,21014,3.0,1840451,78,1125,16,341122,3849,7401355,1355512,5460193,Europe,2023-02-24
511,Georgia,1825598,0,16965,0.0,1776548,0,32085,0,459995,4275,16920079,4263340,3968738,Asia,2023-02-24
512,Jordan,1746997,0,14122,0.0,1731007,0,1868,59,169597,1371,17201885,1669945,10300869,Asia,2023-02-24
513,Ireland,1702523,0,8629,0.0,1691735,111,2159,11,339135,1719,13024205,2594360,5020199,Europe,2023-02-24
514,Pakistan,1576838,42,30641,0.0,1538689,0,7508,16,6871,134,30570862,133213,229488994,Asia,2023-02-24
515,Norway,1478817,0,5112,0.0,1473036,0,669,20,268321,928,11002430,1996315,5511370,Europe,2023-02-24
516,Finland,1462169,0,8892,0.0,1451354,0,1923,21,263219,1601,12047792,2168835,5554960,Europe,2023-02-24
517,Kazakhstan,1407351,0,13846,0.0,1383020,0,10485,24,73280,721,11575012,602707,19205043,Asia,2023-02-24
518,Slovenia,1327065,319,7071,3.0,1316266,65,3728,4,638616,3403,2835462,1364493,2078034,Europe,2023-02-24
519,Lithuania,1303681,295,9584,2.0,1288284,284,5813,8,489791,3601,10373322,3897243,2661708,Europe,2023-02-24
520,Bulgaria,1296533,0,38210,0.0,1255458,0,2865,26,189424,5583,11044361,1613588,6844597,Europe,2023-02-24
521,Morocco,1272418,0,16296,0.0,1256051,0,71,3,33686,431,12975749,343521,37772756,Africa,2023-02-24
522,Croatia,1268666,0,17950,0.0,1250175,0,541,10,312534,4422,5503682,1355825,4059286,Europe,2023-02-24
523,Guatemala,1235082,0,20163,0.0,1213683,0,1236,5,66459,1085,6900044,371289,18584039,North America,2023-02-24
524,Lebanon,1231303,0,10821,0.0,1087587,0,132895,74,184193,1619,4795578,717380,6684849,Asia,2023-02-24
525,Costa Rica,1199055,0,9214,0.0,860711,0,329130,52,231373,1778,4659757,899158,5182354,North America,2023-02-24
526,Bolivia,1192514,156,22363,0.0,1156358,467,13793,220,99437,1865,2705422,225590,11992656,South America,2023-02-24
527,Tunisia,1150793,0,29330,0.0,0,0,0,44,95528,2435,5001397,415169,12046656,Africa,2023-02-24
528,Cuba,1112567,0,8530,0.0,1103957,0,80,2,98408,754,14314851,1266168,11305652,North America,2023-02-24
529,Ecuador,1056578,0,36008,0.0,1015999,0,4571,759,58331,1988,3082403,170173,18113361,South America,2023-02-24
530,UAE,1051457,0,2348,0.0,1034731,0,14378,0,104293,233,199126406,19751106,10081785,Asia,2023-02-24
531,Uruguay,1034046,0,7617,0.0,1025995,0,434,18,295778,2179,6114822,1749083,3496016,South America,2023-02-24
532,Panama,1031014,0,8603,0.0,1021886,0,525,16,231847,1935,7522110,1691516,4446964,North America,2023-02-24
533,Mongolia,1007896,0,2179,0.0,1005707,2,10,192,298364,645,4030048,1193000,3378078,Asia,2023-02-24
534,Nepal,1001139,1,12020,0.0,989111,4,8,0,33122,398,6010940,198869,30225582,Asia,2023-02-24
535,Belarus,994037,0,7118,0.0,985592,0,1327,0,105381,755,13646641,1446722,9432800,Europe,2023-02-24
536,Latvia,975928,25,6237,2.0,969343,32,348,13,527860,3373,7863922,4253443,1848837,Europe,2023-02-24
537,Saudi Arabia,829185,48,9611,3.0,816538,51,3036,41,23133,268,45130369,1259045,35844909,Asia,2023-02-24
538,Azerbaijan,828477,28,10114,3.0,818209,26,154,0,80433,982,7519926,730075,10300205,Asia,2023-02-24
539,Paraguay,807453,0,19849,0.0,0,0,0,7,110522,2717,2657506,363751,7305843,South America,2023-02-24
540,Bahrain,705830,0,1548,0.0,701947,0,2335,1,395648,868,10730009,6014636,1783983,Asia,2023-02-24
541,Sri Lanka,672025,0,16830,0.0,655193,0,2,0,31147,780,6486117,300619,21575842,Asia,2023-02-24
542,Kuwait,662858,0,2570,0.0,660237,0,51,0,151326,587,8455743,1930391,4380326,Asia,2023-02-24
543,Dominican Republic,660533,0,4384,0.0,644785,0,11364,4,59742,397,3740928,338350,11056370,North America,2023-02-24
544,Cyprus,647031,0,1297,0.0,641366,0,4368,60,528885,1060,9640118,7879860,1223387,Asia,2023-02-24
545,Myanmar,633905,0,19490,0.0,614375,0,40,0,11478,353,10031624,181643,55227143,Asia,2023-02-24
546,Palestine,621008,0,5404,0.0,615445,0,159,17,116173,1011,3078533,575907,5345541,Asia,2023-02-24
547,Estonia,614848,0,2934,0.0,524990,0,86924,1,465121,2220,3671717,2777585,1321910,Europe,2023-02-24
548,Moldova,603750,0,11974,0.0,504142,0,87634,49,150442,2984,3216305,801437,4013171,Europe,2023-02-24
549,Venezuela,551954,0,5852,0.0,545768,0,334,36,18859,200,3359014,114771,29266991,South America,2023-02-24
550,Egypt,515698,0,24613,0.0,442182,0,48903,122,4858,232,3693367,34792,106156692,Africa,2023-02-24
551,Libya,507171,0,6437,0.0,500733,0,1,0,72034,914,2483538,352738,7040745,Africa,2023-02-24
552,Ethiopia,499903,0,7572,0.0,487185,0,5146,0,4138,63,5483106,45385,120812698,Africa,2023-02-24
553,Qatar,493724,0,686,0.0,492695,0,343,21,165684,230,4065369,1364257,2979915,Asia,2023-02-24
554,Réunion,486588,0,921,0.0,418572,0,67095,10,535854,1014,1603660,1766027,908061,Africa,2023-02-24
555,Honduras,471557,0,11109,0.0,0,0,0,105,46135,1087,1626616,159141,10221247,North America,2023-02-24
556,Armenia,446819,0,8721,0.0,435162,0,2936,0,150345,2934,3242901,1091164,2971966,Asia,2023-02-24
557,Bosnia and Herzegovina,401575,0,16278,0.0,379084,0,6213,0,123588,5010,1884721,580036,3249317,Europe,2023-02-24
558,Oman,399449,0,4628,0.0,384669,0,10152,2,75028,869,25000000,4695724,5323993,Asia,2023-02-24
559,North Macedonia,346852,0,9662,0.0,337068,0,122,0,166651,4642,2226216,1069626,2081304,Europe,2023-02-24
560,Kenya,342900,0,5688,0.0,337183,0,29,1,6100,101,3967062,70569,56215221,Africa,2023-02-24
561,Zambia,342831,0,4055,0.0,338289,0,487,0,17608,208,3923997,201538,19470234,Africa,2023-02-24
562,Albania,334345,0,3596,0.0,329101,0,1648,0,116644,1255,1941032,677173,2866374,Europe,2023-02-24
563,Botswana,329662,0,2801,0.0,326868,0,-7,1,135043,1147,2026898,830300,2441162,Africa,2023-02-24
564,Luxembourg,297757,0,1133,0.0,288991,0,7633,0,463528,1764,4412567,6869188,642371,Europe,2023-02-24
565,Montenegro,287891,0,2800,0.0,284287,0,804,6,458462,4459,2713150,4320647,627950,Europe,2023-02-24
566,Brunei,277992,0,225,0.0,243601,0,34166,3,624097,505,717784,1611437,445431,Asia,2023-02-24
567,Algeria,271432,0,6881,0.0,182788,0,81763,0,5985,152,230861,5091,45350148,Africa,2023-02-24
568,Nigeria,266463,0,3155,0.0,259850,0,3458,11,1229,15,5708974,26339,216746934,Africa,2023-02-24
569,Zimbabwe,263921,0,5663,0.0,257205,0,1053,12,17214,369,2525756,164744,15331428,Africa,2023-02-24
570,Uzbekistan,250932,0,1637,0.0,241486,0,7809,23,7298,48,1377915,40077,34382084,Asia,2023-02-24
571,Mozambique,233098,0,2242,0.0,228805,0,2051,11,7044,68,1371127,41437,33089461,Africa,2023-02-24
572,Martinique,229807,0,1098,0.0,0,0,0,12,614314,2935,828928,2215870,374087,North America,2023-02-24
573,Laos,218014,0,758,0.0,0,0,0,0,29142,101,1233207,164845,7481023,Asia,2023-02-24
574,Afghanistan,209230,11,7896,0.0,190555,1,10779,45,5134,194,1198562,29409,40754388,Asia,2023-02-24
575,Iceland,208999,0,229,0.0,0,0,0,2,605105,663,1996384,5780036,345393,Europe,2023-02-24
576,Kyrgyzstan,206633,0,2991,0.0,196406,0,7236,131,30711,445,1907195,283460,6728271,Asia,2023-02-24
577,Guadeloupe,201852,0,1010,0.0,0,0,0,19,504890,2526,938039,2346306,399794,North America,2023-02-24
578,El Salvador,201785,0,4230,0.0,179410,0,18145,8,30805,646,2610114,398467,6550389,North America,2023-02-24
579,Trinidad and Tobago,188737,0,4339,0.0,184363,0,35,8,134181,3085,895520,636663,1406585,North America,2023-02-24
580,Maldives,185729,0,311,0.0,163687,0,21731,25,343316,575,2213831,4092223,540985,Asia,2023-02-24
581,Ghana,171167,0,1462,0.0,169696,0,9,2,5284,45,2529887,78094,32395450,Africa,2023-02-24
582,Namibia,171121,0,4090,0.0,166689,0,342,0,64969,1553,1062663,403460,2633874,Africa,2023-02-24
583,Uganda,170478,0,3630,0.0,100431,0,66417,3,3520,75,3012408,62198,48432863,Africa,2023-02-24
584,Jamaica,154065,0,3500,0.0,102393,0,48172,0,51611,1172,1183986,396633,2985094,North America,2023-02-24
585,Cambodia,138714,1,3056,0.0,135650,1,8,0,8079,178,3091420,180062,17168639,Asia,2023-02-24
586,Rwanda,133170,0,1468,0.0,131634,0,68,0,9792,108,5959042,438150,13600464,Africa,2023-02-24
587,Cameroon,124328,0,1965,0.0,122333,0,30,13,4454,70,1751774,62762,27911548,Africa,2023-02-24
588,Malta,117338,0,827,0.0,115923,0,588,4,264255,1862,2111209,4754622,444033,Europe,2023-02-24
589,Barbados,106645,0,575,0.0,106057,0,13,0,370266,1996,794426,2758203,288023,North America,2023-02-24
590,Angola,105205,0,1931,0.0,103250,0,24,0,3004,55,1499795,42818,35027343,Africa,2023-02-24
591,Channel Islands,101320,0,227,0.0,100975,0,118,0,574171,1286,1252808,7099551,176463,Europe,2023-02-24
592,French Guiana,98041,0,420,0.0,11254,0,86367,6,312065,1337,651257,2072951,314169,South America,2023-02-24
593,DRC,95646,0,1464,0.0,84282,0,9900,0,1004,15,846704,8890,95240792,Africa,2023-02-24
594,Senegal,88917,0,1971,0.0,86938,0,8,0,5037,112,1146543,64946,17653671,Africa,2023-02-24
595,Malawi,88681,0,2686,0.0,85542,0,453,67,4394,133,624784,30959,20180839,Africa,2023-02-24
596,Ivory Coast,88138,0,834,0.0,87262,0,42,0,3177,30,1677538,60469,27742298,Africa,2023-02-24
597,Suriname,82227,0,1400,0.0,0,0,0,0,137773,2346,240907,403644,596831,South America,2023-02-24
598,New Caledonia,79871,0,314,0.0,79557,0,0,9,274551,1079,98964,340182,290915,Australia/Oceania,2023-02-24
599,French Polynesia,77957,0,649,0.0,0,0,0,7,274338,2284,0,0,284164,Australia/Oceania,2023-02-24
600,Eswatini,74199,0,1423,0.0,72726,0,50,0,62625,1201,1048704,885119,1184817,Africa,2023-02-24
601,Guyana,73062,0,1298,0.0,71742,0,22,0,92012,1635,720953,907950,794045,South America,2023-02-24
602,Belize,70740,0,688,0.0,70036,0,16,6,171620,1669,576016,1397453,412190,North America,2023-02-24
603,Fiji,68876,0,883,0.0,66831,0,1162,0,75732,971,668445,734986,909466,Australia/Oceania,2023-02-24
604,Madagascar,67852,0,1421,0.0,66427,0,4,0,2325,49,525141,17998,29178077,Africa,2023-02-24
605,Sudan,63787,0,5011,0.0,58438,0,338,0,1387,109,562941,12240,45992020,Africa,2023-02-24
606,Mauritania,63667,0,997,0.0,62439,0,231,0,12988,203,1009957,206030,4901981,Africa,2023-02-24
607,Cabo Verde,63240,0,413,0.0,62770,0,57,23,111401,728,401622,707482,567678,Africa,2023-02-24
608,Bhutan,62615,0,21,0.0,61564,0,1030,0,79467,27,2303734,2923739,787941,Asia,2023-02-24
609,Syria,57463,0,3164,0.0,54299,0,0,0,2967,163,146269,7553,19364809,Asia,2023-02-24
610,Burundi,53609,0,38,0.0,53569,0,2,0,4246,3,345742,27386,12624840,Africa,2023-02-24
611,Seychelles,50665,0,172,0.0,50440,0,53,0,509575,1730,0,0,99426,Africa,2023-02-24
612,Gabon,48981,0,306,0.0,48674,0,1,0,21008,131,1621909,695641,2331533,Africa,2023-02-24
613,Andorra,47866,0,165,0.0,47563,0,138,14,617921,2130,249838,3225256,77463,Europe,2023-02-24
614,Papua New Guinea,46792,0,670,0.0,43982,0,2140,7,5036,72,249149,26813,9292169,Australia/Oceania,2023-02-24
615,Curaçao,45986,0,295,0.0,44720,0,971,3,277812,1782,496693,3000640,165529,North America,2023-02-24
616,Aruba,44026,0,236,0.0,42438,0,1352,2,409129,2193,177885,1653068,107609,North America,2023-02-24
617,Tanzania,42823,0,846,0.0,0,0,0,7,677,13,0,0,63298550,Africa,2023-02-24
618,Mayotte,42004,0,188,0.0,0,0,0,0,146734,657,176919,618038,286259,Africa,2023-02-24
619,Mauritius,41698,0,1043,0.0,39991,0,664,0,32711,818,358675,281374,1274727,Africa,2023-02-24
620,Togo,39367,0,290,0.0,39072,0,5,0,4535,33,807880,93065,8680837,Africa,2023-02-24
621,Guinea,38267,0,467,0.0,37757,0,43,8,2760,34,660107,47607,13865691,Africa,2023-02-24
622,Isle of Man,38008,0,116,0.0,0,0,0,0,443335,1353,150753,1758422,85732,Europe,2023-02-24
623,Bahamas,37491,0,833,0.0,36366,0,292,1,93607,2080,257839,643767,400516,North America,2023-02-24
624,Lesotho,34790,0,723,0.0,25980,0,8087,0,15990,332,431221,198199,2175699,Africa,2023-02-24
625,Faeroe Islands,34658,0,28,0.0,0,0,0,5,703959,569,778000,15802409,49233,Europe,2023-02-24
626,Haiti,34143,0,860,0.0,33044,0,239,0,2923,74,132422,11337,11680283,North America,2023-02-24
627,Mali,32977,0,743,0.0,32046,0,188,0,1536,35,794481,36998,21473764,Africa,2023-02-24
628,Cayman Islands,31472,0,37,0.0,8553,0,22882,1,467797,550,222773,3311280,67277,North America,2023-02-24
629,Saint Lucia,29882,0,409,0.0,29095,0,378,0,161426,2209,210983,1139752,185113,North America,2023-02-24
630,Benin,27990,0,163,0.0,27825,0,2,0,2189,13,604310,47268,12784726,Africa,2023-02-24
631,Somalia,27324,0,1361,0.0,13182,0,12781,0,1622,81,400466,23778,16841795,Africa,2023-02-24
632,Congo,25375,0,386,0.0,24006,0,983,0,4377,67,347815,59991,5797805,Africa,2023-02-24
633,Solomon Islands,24575,0,153,0.0,0,0,0,1,34077,212,0,0,721159,Australia/Oceania,2023-02-24
634,Micronesia,23671,0,60,0.0,0,0,0,1,201474,511,54967,467848,117489,Australia/Oceania,2023-02-24
635,San Marino,23536,0,122,0.0,23276,0,138,4,690509,3579,157634,4624732,34085,Europe,2023-02-24
636,Timor-Leste,23418,0,138,0.0,23102,0,178,0,17101,101,278529,203391,1369429,Asia,2023-02-24
637,Burkina Faso,22056,0,396,0.0,21596,0,64,0,998,18,248995,11265,22102838,Africa,2023-02-24
638,Liechtenstein,21395,0,89,0.0,21281,0,25,0,557350,2318,112457,2929559,38387,Europe,2023-02-24
639,Gibraltar,20420,0,111,0.0,16579,0,3730,0,605863,3293,534283,15852213,33704,Europe,2023-02-24
640,Grenada,19680,0,238,0.0,19358,0,84,4,173430,2097,182981,1612523,113475,North America,2023-02-24
641,Bermuda,18799,0,160,0.0,18632,0,7,0,303508,2583,1027337,16586270,61939,North America,2023-02-24
642,Nicaragua,18491,0,225,0.0,4225,0,14041,0,2728,33,0,0,6779100,North America,2023-02-24
643,South Sudan,18368,0,138,0.0,18115,0,115,1,1581,12,410280,35313,11618511,Africa,2023-02-24
644,Tajikistan,17786,0,125,0.0,17264,0,397,0,1786,13,0,0,9957464,Asia,2023-02-24
645,Equatorial Guinea,17229,0,183,0.0,16907,0,139,5,11512,122,365697,244342,1496662,Africa,2023-02-24
646,Tonga,16801,0,13,0.0,15638,0,1150,0,155927,121,535009,4965327,107749,Australia/Oceania,2023-02-24
647,Samoa,16607,0,29,0.0,1605,0,14973,0,82116,143,187397,926612,202239,Australia/Oceania,2023-02-24
648,Monaco,16106,0,67,0.0,15992,0,47,4,404846,1684,78646,1976875,39783,Europe,2023-02-24
649,Dominica,15760,0,74,0.0,15673,0,13,0,217848,1023,229344,3170187,72344,North America,2023-02-24
650,Djibouti,15690,0,189,0.0,15427,0,74,0,15441,186,305941,301094,1016097,Africa,2023-02-24
651,Marshall Islands,15598,0,17,0.0,15528,0,53,0,259720,283,0,0,60057,Australia/Oceania,2023-02-24
652,CAR,15368,0,113,0.0,15200,0,55,2,3063,23,81294,16205,5016678,Africa,2023-02-24
653,Gambia,12586,0,372,0.0,12189,0,25,0,4919,145,155686,60851,2558482,Africa,2023-02-24
654,Saint Martin,12257,0,63,0.0,1399,0,10795,7,308507,1586,112382,2828643,39730,North America,2023-02-24
655,Vanuatu,12014,0,14,0.0,11976,0,24,0,37330,44,24976,77606,321832,Australia/Oceania,2023-02-24
656,Greenland,11971,0,21,0.0,2761,0,9189,4,210117,369,164926,2894810,56973,North America,2023-02-24
657,Yemen,11945,0,2159,0.0,9124,0,662,23,383,69,329592,10579,31154867,Asia,2023-02-24
658,Caribbean Netherlands,11668,0,38,0.0,10476,0,1154,0,437873,1426,30126,1130559,26647,North America,2023-02-24
659,Sint Maarten,11016,0,91,0.0,10905,0,20,0,250557,2070,62056,1411454,43966,North America,2023-02-24
660,Eritrea,10189,0,103,0.0,10086,0,0,0,2782,28,23693,6470,3662244,Africa,2023-02-24
661,Niger,9931,0,312,0.0,8890,0,729,1,381,12,254538,9759,26083660,Africa,2023-02-24
662,St. Vincent Grenadines,9589,0,123,0.0,9466,0,0,0,85961,1103,113703,1019292,111551,North America,2023-02-24
663,Antigua and Barbuda,9106,0,146,0.0,8954,0,6,1,91509,1467,18901,189943,99509,North America,2023-02-24
664,Comoros,8998,0,161,0.0,8837,0,0,0,9916,177,0,0,907419,Africa,2023-02-24
665,Guinea-Bissau,8953,0,176,0.0,8660,0,117,6,4339,85,145231,70385,2063367,Africa,2023-02-24
666,Liberia,8065,0,294,0.0,7768,0,3,2,1520,55,139824,26356,5305117,Africa,2023-02-24
667,Sierra Leone,7760,0,126,0.0,0,0,0,0,934,15,259958,31296,8306436,Africa,2023-02-24
668,Chad,7675,0,194,0.0,4874,0,2607,0,441,11,191341,10988,17413580,Africa,2023-02-24
669,British Virgin Islands,7305,0,64,0.0,0,0,0,0,238757,2092,107339,3508269,30596,North America,2023-02-24
670,Cook Islands,7025,0,2,0.0,7012,0,11,0,399806,114,19690,1120596,17571,Australia/Oceania,2023-02-24
671,Saint Kitts and Nevis,6596,0,46,0.0,6546,0,4,0,122441,854,126927,2356129,53871,North America,2023-02-24
672,Turks and Caicos,6551,0,38,0.0,6491,0,22,4,164842,956,611527,15387811,39741,North America,2023-02-24
673,Sao Tome and Principe,6281,0,77,0.0,6203,0,1,0,27587,338,29036,127530,227679,Africa,2023-02-24
674,Palau,5988,0,9,0.0,5976,0,3,0,328416,494,69136,3791806,18233,Australia/Oceania,2023-02-24
675,St. Barth,5439,0,6,0.0,0,0,0,0,546908,603,78646,7908095,9945,North America,2023-02-24
676,Nauru,5247,0,1,0.0,5075,0,171,0,481244,92,20509,1881042,10903,Australia/Oceania,2023-02-24
677,Kiribati,5013,0,18,0.0,2703,0,2292,3,40618,146,0,0,123419,Australia/Oceania,2023-02-24
678,Anguilla,3904,0,12,0.0,3879,0,13,4,256336,788,51382,3373736,15230,North America,2023-02-24
679,Macao,3513,0,121,0.0,3378,0,14,0,5263,181,7850,11760,667490,Asia,2023-02-24
680,Saint Pierre Miquelon,3452,0,2,0.0,2449,0,1001,1,599410,347,25400,4410488,5759,North America,2023-02-24
681,Wallis and Futuna,3427,0,7,0.0,438,0,2982,0,312056,637,20508,1867419,10982,Australia/Oceania,2023-02-24
682,Tuvalu,2805,0,0,0.0,0,0,2805,0,232471,0,0,0,12066,Australia/Oceania,2023-02-24
683,Saint Helena,2166,0,0,0.0,2,0,2164,0,354211,0,0,0,6115,Africa,2023-02-24
684,Falkland Islands,1930,0,0,0.0,1930,0,0,0,545352,0,8632,2439107,3539,South America,2023-02-24
685,Montserrat,1403,0,8,0.0,1376,0,19,0,282578,1611,17762,3577442,4965,North America,2023-02-24
686,Niue,783,0,0,0.0,752,0,31,0,482737,0,0,0,1622,Australia/Oceania,2023-02-24
687,Diamond Princess,712,0,13,0.0,699,0,0,0,0,0,0,0,0,Do not know,2023-02-24
688,Vatican City,29,0,0,0.0,29,0,0,0,36295,0,0,0,799,Europe,2023-02-24
689,Western Sahara,10,0,1,0.0,9,0,0,0,16,2,0,0,626161,Africa,2023-02-24
690,MS Zaandam,9,0,2,0.0,7,0,0,0,0,0,0,0,0,Do not know,2023-02-24
691,Tokelau,5,0,0,0.0,0,0,5,0,3628,0,0,0,1378,Australia/Oceania,2023-02-24
692,China,503302,0,5272,0.0,379053,0,118977,0,347,4,160000000,110461,1448471400,Asia,2023-02-24
693,USA,105169945,0,1144441,0.0,102567861,0,1457643,2588,314123,3418,1164027866,3476731,334805269,North America,2023-02-25
694,India,44685799,0,530764,0.0,44152945,0,2090,0,31768,377,918324498,652854,1406631776,Asia,2023-02-25
695,France,39608954,0,164877,0.0,39374891,0,69186,869,603938,2514,271490188,4139547,65584518,Europe,2023-02-25
696,Germany,38111063,0,167812,0.0,37658600,3800,284651,0,454333,2001,122332384,1458359,83883596,Europe,2023-02-25
697,Brazil,37020531,0,698928,0.0,36185975,0,135628,0,171906,3245,63776166,296146,215353593,South America,2023-02-25
698,Japan,33172567,14846,72206,72.0,21680804,5174,11419557,173,264145,575,94942656,756004,125584838,Asia,2023-02-25
699,S. Korea,30489666,9913,33940,11.0,30245452,16100,210274,181,593994,661,15804065,307892,51329899,Asia,2023-02-25
700,Italy,25576852,0,188094,0.0,25219653,0,169105,133,424422,3121,267663187,4441601,60262770,Europe,2023-02-25
701,UK,24341615,0,206246,0.0,24078331,1945,57038,0,355363,3011,522526476,7628357,68497907,Europe,2023-02-25
702,Russia,22243563,11071,396004,34.0,21581463,11208,266096,0,152556,2716,273400000,1875095,145805947,Europe,2023-02-25
703,Turkey,17042722,0,101492,0.0,0,0,0,0,199186,1186,162743369,1902052,85561976,Asia,2023-02-25
704,Spain,13763336,0,119380,0.0,13607068,0,36888,231,294597,2555,471036328,10082298,46719142,Europe,2023-02-25
705,Vietnam,11526891,10,43186,0.0,10614759,4,868946,2,116488,436,85826548,867342,98953541,Asia,2023-02-25
706,Australia,11366361,0,19373,0.0,11314814,0,32174,36,436014,743,78835048,3024116,26068792,Australia/Oceania,2023-02-25
707,Argentina,10043308,0,130458,0.0,9908502,456,4348,363,218284,2835,35716069,776264,46010234,South America,2023-02-25
708,Taiwan,10012276,13526,17818,53.0,9651079,22934,343379,0,419124,746,30742304,1286903,23888595,Asia,2023-02-25
709,Netherlands,8591721,0,22992,0.0,8557847,280,10882,53,499186,1336,25984435,1509718,17211447,Europe,2023-02-25
710,Iran,7567619,59,144835,3.0,7339129,57,83655,279,87972,1684,55034937,639771,86022837,Asia,2023-02-25
711,Mexico,7443151,0,332938,0.0,6680289,0,429924,0,56575,2531,19551137,148607,131562772,North America,2023-02-25
712,Indonesia,6735451,182,160905,3.0,6570963,167,3583,0,24130,576,114158919,408975,279134505,Asia,2023-02-25
713,Poland,6414853,2595,118868,8.0,5335940,0,960045,696,169976,3150,38255088,1013654,37739785,Europe,2023-02-25
714,Colombia,6359464,0,142615,0.0,6182304,0,34545,342,123454,2769,36951507,717327,51512762,South America,2023-02-25
