,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,day
52,Ireland,1702523,0,8629,0.0,1691343,29,2551,18,339135,1719,13003038,2590144,5020199,Europe,2023-02-22
53,Pakistan,1576760,23,30641,0.0,1538689,0,7430,13,6871,134,30570862,133213,229488994,Asia,2023-02-22
54,Norway,1478767,48,5112,0.0,1472983,53,672,20,268312,928,11002430,1996315,5511370,Europe,2023-02-22
55,Finland,1462169,1,8892,0.0,1451269,107,2008,21,263219,1601,12041358,2167677,5554960,Europe,2023-02-22
56,Kazakhstan,1407351,0,13846,0.0,1383020,0,10485,24,73280,721,11575012,602707,19205043,Asia,2023-02-22
57,Slovenia,1326393,347,7067,0.0,1315958,305,3368,6,638292,3401,2834334,1363950,2078034,Europe,2023-02-22
58,Lithuania,1303040,431,9580,1.0,1287691,370,5769,7,489550,3599,10372063,3896770,2661708,Europe,2023-02-22
59,Bulgaria,1296450,70,38208,1.0,1255446,68,2796,25,189412,5582,11041500,1613170,6844597,Europe,2023-02-22
60,Morocco,1272411,11,16296,0.0,1256045,10,70,3,33686,431,12972026,343423,37772756,Africa,2023-02-22
61,Croatia,1268666,0,17950,0.0,1250175,0,541,10,312534,4422,5503682,1355825,4059286,Europe,2023-02-22
62,Guatemala,1234843,368,20160,1.0,1213424,362,1259,5,66446,1085,6891394,370823,18584039,North America,2023-02-22
63,Lebanon,1231303,263,10821,2.0,1087587,0,132895,74,184193,1619,4795578,717380,6684849,Asia,2023-02-22
64,Costa Rica,1199055,0,9214,0.0,860711,0,329130,52,231373,1778,4659757,899158,5182354,North America,2023-02-22
65,Bolivia,1192283,37,22362,0.0,1155678,260,14243,220,99418,1865,2705422,225590,11992656,South America,2023-02-22
66,Tunisia,1150793,0,29330,0.0,0,0,0,44,95528,2435,5001397,415169,12046656,Africa,2023-02-22
67,Cuba,1112561,8,8530,0.0,1103956,5,75,0,98408,754,14314110,1266102,11305652,North America,2023-02-22
68,Ecuador,1056578,0,36008,0.0,1015999,0,4571,759,58331,1988,3082403,170173,18113361,South America,2023-02-22
69,UAE,1051336,95,2348,0.0,1034628,122,14360,0,104281,233,199104417,19748925,10081785,Asia,2023-02-22
70,Uruguay,1034046,0,7617,0.0,1025995,0,434,18,295778,2179,6114822,1749083,3496016,South America,2023-02-22
71,Panama,1030658,0,8600,0.0,1021441,0,617,16,231767,1934,7491978,1684740,4446964,North America,2023-02-22
72,Mongolia,1007896,1,2179,0.0,1005705,8,12,192,298364,645,4030048,1193000,3378078,Asia,2023-02-22
73,Nepal,1001137,2,12020,0.0,989105,2,12,0,33122,398,6010742,198863,30225582,Asia,2023-02-22
74,Belarus,994037,0,7118,0.0,985592,0,1327,0,105381,755,13646641,1446722,9432800,Europe,2023-02-22
75,Latvia,975884,37,6235,1.0,969279,24,370,13,527837,3372,7863503,4253216,1848837,Europe,2023-02-22
76,Saudi Arabia,829095,54,9607,1.0,816432,52,3056,38,23130,268,45124522,1258882,35844909,Asia,2023-02-22
77,Azerbaijan,828426,31,10108,3.0,818167,22,151,0,80428,981,7517428,729833,10300205,Asia,2023-02-22
