,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
82,Dominican Republic,660533,41,4384,0.0,644785,0,11364,4,59742,397,3740928,338350,11056370,North America
83,Cyprus,647031,0,1297,0.0,641366,0,4368,60,528885,1060,9640118,7879860,1223387,Asia
84,Myanmar,633903,2,19490,0.0,614374,4,39,0,11478,353,10027516,181569,55227143,Asia
85,Palestine,621008,0,5404,0.0,615445,0,159,17,116173,1011,3078533,575907,5345541,Asia
86,Estonia,614848,0,2934,0.0,524990,0,86924,1,465121,2220,3671717,2777585,1321910,Europe
87,Moldova,603750,0,11974,0.0,504142,0,87634,49,150442,2984,3216305,801437,4013171,Europe
88,Venezuela,551950,10,5852,0.0,545687,32,411,36,18859,200,3359014,114771,29266991,South America
89,Egypt,515698,0,24613,0.0,442182,0,48903,122,4858,232,3693367,34792,106156692,Africa
90,Libya,507171,0,6437,0.0,500733,0,1,0,72034,914,2483538,352738,7040745,Africa
91,Ethiopia,499903,13,7572,0.0,487185,15,5146,0,4138,63,5483106,45385,120812698,Africa
92,Qatar,493639,79,686,0.0,492638,38,315,22,165655,230,4065369,1364257,2979915,Asia
93,Réunion,486588,0,921,0.0,418572,0,67095,10,535854,1014,1603660,1766027,908061,Africa
94,Honduras,471557,0,11109,0.0,0,0,0,105,46135,1087,1626616,159141,10221247,North America
95,Armenia,446819,487,8721,2.0,435162,0,2936,0,150345,2934,3242901,1091164,2971966,Asia
96,Bosnia and Herzegovina,401575,48,16278,11.0,379084,0,6213,0,123588,5010,1884721,580036,3249317,Europe
97,Oman,399449,0,4628,0.0,384669,0,10152,2,75028,869,25000000,4695724,5323993,Asia
98,North Macedonia,346733,0,9653,0.0,336974,0,106,0,166594,4638,2223705,1068419,2081304,Europe
99,Kenya,342900,26,5688,0.0,337183,37,29,1,6100,101,3967062,70569,56215221,Africa
100,Zambia,342831,49,4055,0.0,338289,23,487,0,17608,208,3923997,201538,19470234,Africa
101,Albania,334336,0,3596,0.0,329079,0,1661,0,116641,1255,1941032,677173,2866374,Europe
102,Botswana,329662,0,2801,0.0,326868,0,-7,1,135043,1147,2026898,830300,2441162,Africa
103,Luxembourg,297757,0,1133,0.0,288991,0,7633,0,463528,1764,4412567,6869188,642371,Europe
104,Montenegro,287772,104,2800,0.0,284206,89,766,6,458272,4459,2712064,4318917,627950,Europe
105,Brunei,277992,0,225,0.0,243601,0,34166,0,624097,505,717784,1611437,445431,Asia
106,Algeria,271431,3,6881,0.0,182788,0,81762,0,5985,152,230861,5091,45350148,Africa
107,Nigeria,266463,0,3155,0.0,259850,0,3458,11,1229,15,5708974,26339,216746934,Africa
108,Zimbabwe,263921,279,5663,1.0,257205,512,1053,12,17214,369,2525756,164744,15331428,Africa
109,Uzbekistan,250932,59,1637,0.0,241486,0,7809,23,7298,48,1377915,40077,34382084,Asia
110,Mozambique,233098,0,2242,0.0,228805,0,2051,11,7044,68,1371127,41437,33089461,Africa
111,Martinique,229807,0,1098,0.0,0,0,0,12,614314,2935,828928,2215870,374087,North America
112,Laos,218012,0,758,0.0,0,0,0,0,29142,101,1233207,164845,7481023,Asia
113,Afghanistan,209195,14,7896,0.0,190544,254,10755,45,5133,194,1197450,29382,40754388,Asia
114,Iceland,208999,0,229,0.0,0,0,0,2,605105,663,1996384,5780036,345393,Europe
115,Kyrgyzstan,206633,22,2991,0.0,196406,0,7236,131,30711,445,1907195,283460,6728271,Asia
116,Guadeloupe,201852,148,1010,0.0,0,0,0,19,504890,2526,938039,2346306,399794,North America
117,El Salvador,201785,0,4230,0.0,179410,0,18145,8,30805,646,2610114,398467,6550389,North America
118,Trinidad and Tobago,188737,0,4339,0.0,184363,0,35,8,134181,3085,895520,636663,1406585,North America
119,Maldives,185729,0,311,0.0,163687,0,21731,25,343316,575,2213831,4092223,540985,Asia
120,Ghana,171167,7,1462,0.0,169696,7,9,2,5284,45,2529887,78094,32395450,Africa
121,Namibia,171121,62,4090,0.0,166689,97,342,0,64969,1553,1062663,403460,2633874,Africa
122,Uganda,170478,0,3630,0.0,100431,0,66417,3,3520,75,3012408,62198,48432863,Africa
123,Jamaica,154065,0,3500,0.0,102393,0,48172,0,51611,1172,1183986,396633,2985094,North America
124,Cambodia,138713,1,3056,0.0,135648,0,9,0,8079,178,3091420,180062,17168639,Asia
125,Rwanda,133170,0,1468,0.0,131634,0,68,0,9792,108,5959042,438150,13600464,Africa
126,Cameroon,124328,0,1965,0.0,122333,0,30,13,4454,70,1751774,62762,27911548,Africa
127,Malta,117338,0,827,0.0,115923,0,588,4,264255,1862,2111209,4754622,444033,Europe
128,Barbados,106645,0,575,0.0,106057,0,13,0,370266,1996,794426,2758203,288023,North America
129,Angola,105205,21,1931,0.0,103250,34,24,0,3004,55,1499795,42818,35027343,Africa
130,Channel Islands,101320,0,227,0.0,100975,0,118,0,574171,1286,1252808,7099551,176463,Europe
131,French Guiana,98041,0,420,0.0,11254,0,86367,6,312065,1337,651257,2072951,314169,South America
132,DRC,95646,0,1464,0.0,84282,0,9900,0,1004,15,846704,8890,95240792,Africa
133,Senegal,88917,7,1971,0.0,86938,0,8,0,5037,112,1146543,64946,17653671,Africa
134,Malawi,88681,41,2686,0.0,85542,87,453,67,4394,133,624784,30959,20180839,Africa
135,Ivory Coast,88138,24,834,0.0,87262,22,42,0,3177,30,1677538,60469,27742298,Africa
136,Suriname,82227,0,1400,0.0,0,0,0,0,137773,2346,240907,403644,596831,South America
137,New Caledonia,79871,0,314,0.0,79557,0,0,9,274551,1079,98964,340182,290915,Australia/Oceania
138,French Polynesia,77957,0,649,0.0,0,0,0,7,274338,2284,0,0,284164,Australia/Oceania
139,Eswatini,74199,0,1423,0.0,72726,0,50,0,62625,1201,1048704,885119,1184817,Africa
140,Guyana,73062,0,1298,0.0,71742,0,22,0,92012,1635,720953,907950,794045,South America
141,Belize,70740,0,688,0.0,70036,0,16,6,171620,1669,576016,1397453,412190,North America
142,Fiji,68876,0,883,0.0,66831,0,1162,0,75732,971,668445,734986,909466,Australia/Oceania
143,Madagascar,67852,0,1421,0.0,66427,0,4,0,2325,49,525141,17998,29178077,Africa
144,Sudan,63787,12,5011,0.0,58438,0,338,0,1387,109,562941,12240,45992020,Africa
145,Mauritania,63667,0,997,0.0,62439,0,231,0,12988,203,1009957,206030,4901981,Africa
146,Cabo Verde,63240,1,413,0.0,62768,1,59,23,111401,728,401622,707482,567678,Africa
147,Bhutan,62615,4,21,0.0,61564,0,1030,0,79467,27,2303734,2923739,787941,Asia
148,Syria,57463,0,3164,0.0,54299,0,0,0,2967,163,146269,7553,19364809,Asia
149,Burundi,53609,0,38,0.0,53569,0,2,0,4246,3,345742,27386,12624840,Africa
150,Seychelles,50665,0,172,0.0,50440,0,53,0,509575,1730,0,0,99426,Africa
151,Gabon,48981,0,306,0.0,48674,0,1,0,21008,131,1621909,695641,2331533,Africa
152,Andorra,47866,0,165,0.0,47563,0,138,14,617921,2130,249838,3225256,77463,Europe
153,Papua New Guinea,46792,0,670,0.0,43982,0,2140,7,5036,72,249149,26813,9292169,Australia/Oceania
154,Curaçao,45986,0,295,0.0,44720,0,971,3,277812,1782,496693,3000640,165529,North America
155,Aruba,44026,0,236,0.0,42438,0,1352,2,409129,2193,177885,1653068,107609,North America
156,Tanzania,42823,48,846,0.0,0,0,0,7,677,13,0,0,63298550,Africa
157,Mayotte,42004,0,188,0.0,0,0,0,0,146734,657,176919,618038,286259,Africa
158,Mauritius,41698,0,1043,0.0,39991,0,664,0,32711,818,358675,281374,1274727,Africa
159,Togo,39367,0,290,0.0,39072,0,5,0,4535,33,807880,93065,8680837,Africa
160,Guinea,38267,0,467,0.0,37757,0,43,8,2760,34,660107,47607,13865691,Africa
161,Isle of Man,38008,0,116,0.0,0,0,0,0,443335,1353,150753,1758422,85732,Europe
162,Bahamas,37491,0,833,0.0,36366,0,292,1,93607,2080,257839,643767,400516,North America
163,Lesotho,34790,0,723,0.0,25980,0,8087,0,15990,332,431221,198199,2175699,Africa
164,Faeroe Islands,34658,0,28,0.0,0,0,0,5,703959,569,778000,15802409,49233,Europe
165,Haiti,34143,0,860,0.0,33044,0,239,0,2923,74,132422,11337,11680283,North America
166,Mali,32963,17,743,0.0,32032,10,188,0,1535,35,794233,36986,21473764,Africa
167,Cayman Islands,31472,0,37,0.0,8553,0,22882,1,467797,550,222773,3311280,67277,North America
168,Saint Lucia,29882,0,409,0.0,29095,0,378,0,161426,2209,210983,1139752,185113,North America
169,Benin,27990,0,163,0.0,27825,0,2,0,2189,13,604310,47268,12784726,Africa
170,Somalia,27324,0,1361,0.0,13182,0,12781,0,1622,81,400466,23778,16841795,Africa
171,Congo,25375,0,386,0.0,24006,0,983,0,4377,67,347815,59991,5797805,Africa
172,Solomon Islands,24575,0,153,0.0,0,0,0,1,34077,212,0,0,721159,Australia/Oceania
173,Micronesia,23671,0,60,0.0,0,0,0,1,201474,511,54967,467848,117489,Australia/Oceania
174,San Marino,23536,0,122,0.0,23276,0,138,4,690509,3579,157634,4624732,34085,Europe
175,Timor-Leste,23418,0,138,0.0,23102,0,178,0,17101,101,278529,203391,1369429,Asia
176,Burkina Faso,22056,0,396,0.0,21596,0,64,0,998,18,248995,11265,22102838,Africa
177,Liechtenstein,21393,4,89,0.0,21280,0,24,0,557298,2318,112457,2929559,38387,Europe
178,Gibraltar,20420,0,111,0.0,16579,0,3730,0,605863,3293,534283,15852213,33704,Europe
179,Grenada,19680,0,238,0.0,19358,0,84,4,173430,2097,182981,1612523,113475,North America
180,Bermuda,18799,8,160,1.0,18632,5,7,0,303508,2583,1027337,16586270,61939,North America
181,Nicaragua,18491,0,225,0.0,4225,0,14041,0,2728,33,0,0,6779100,North America
182,South Sudan,18368,0,138,0.0,18115,0,115,1,1581,12,410280,35313,11618511,Africa
183,Tajikistan,17786,0,125,0.0,17264,0,397,0,1786,13,0,0,9957464,Asia
184,Equatorial Guinea,17229,7,183,0.0,16907,0,139,5,11512,122,365697,244342,1496662,Africa
185,Tonga,16801,0,13,0.0,15638,0,1150,0,155927,121,535009,4965327,107749,Australia/Oceania
186,Samoa,16607,13,29,0.0,1605,0,14973,0,82116,143,187397,926612,202239,Australia/Oceania
187,Monaco,16106,2,67,0.0,15992,0,47,4,404846,1684,78646,1976875,39783,Europe
188,Dominica,15760,0,74,0.0,15673,0,13,0,217848,1023,229344,3170187,72344,North America
189,Djibouti,15690,0,189,0.0,15427,0,74,0,15441,186,305941,301094,1016097,Africa
190,Marshall Islands,15598,0,17,0.0,15528,0,53,0,259720,283,0,0,60057,Australia/Oceania
191,CAR,15368,0,113,0.0,15200,0,55,2,3063,23,81294,16205,5016678,Africa
