,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
83,Cyprus,"647,031",,"1,297",,"641,366",,"4,368",60,"528,885","1,060","9,640,118","7,879,860","1,223,387",Asia
84,Myanmar,"633,905",+2,"19,490",,"614,375",+1,40,,"11,478",353,"10,031,624","181,643","55,227,143",Asia
85,Palestine,"621,008",,"5,404",,"615,445",,159,17,"116,173","1,011","3,078,533","575,907","5,345,541",Asia
86,Estonia,"614,848",,"2,934",,"524,990",,"86,924",1,"465,121","2,220","3,671,717","2,777,585","1,321,910",Europe
87,Moldova,"603,750",,"11,974",,"504,142",,"87,634",49,"150,442","2,984","3,216,305","801,437","4,013,171",Europe
88,Venezuela,"551,954",+4,"5,852",,"545,768",+81,334,36,"18,859",200,"3,359,014","114,771","29,266,991",South America
89,Egypt,"515,698",,"24,613",,"442,182",,"48,903",122,"4,858",232,"3,693,367","34,792","106,156,692",Africa
90,Libya,"507,171",,"6,437",,"500,733",,1,,"72,034",914,"2,483,538","352,738","7,040,745",Africa
91,Ethiopia,"499,903",,"7,572",,"487,185",,"5,146",,"4,138",63,"5,483,106","45,385","120,812,698",Africa
92,Qatar,"493,724",+85,686,,"492,695",+57,343,21,"165,684",230,"4,065,369","1,364,257","2,979,915",Asia
93,Réunion,"486,588",,921,,"418,572",,"67,095",10,"535,854","1,014","1,603,660","1,766,027","908,061",Africa
94,Honduras,"471,557",,"11,109",,N/A,N/A,N/A,105,"46,135","1,087","1,626,616","159,141","10,221,247",North America
95,Armenia,"446,819",,"8,721",,"435,162",,"2,936",,"150,345","2,934","3,242,901","1,091,164","2,971,966",Asia
96,Bosnia and Herzegovina,"401,575",,"16,278",,"379,084",,"6,213",,"123,588","5,010","1,884,721","580,036","3,249,317",Europe
97,Oman,"399,449",,"4,628",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724","5,323,993",Asia
98,North Macedonia,"346,852",+119,"9,662",+9,"337,068",+94,122,,"166,651","4,642","2,226,216","1,069,626","2,081,304",Europe
99,Kenya,"342,900",,"5,688",,"337,183",,29,1,"6,100",101,"3,967,062","70,569","56,215,221",Africa
100,Zambia,"342,831",,"4,055",,"338,289",,487,,"17,608",208,"3,923,997","201,538","19,470,234",Africa
101,Albania,"334,345",+9,"3,596",,"329,101",+22,"1,648",,"116,644","1,255","1,941,032","677,173","2,866,374",Europe
102,Botswana,"329,662",,"2,801",,"326,868",,-7,1,"135,043","1,147","2,026,898","830,300","2,441,162",Africa
103,Luxembourg,"297,757",,"1,133",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371",Europe
104,Montenegro,"287,891",+119,"2,800",,"284,287",+81,804,6,"458,462","4,459","2,713,150","4,320,647","627,950",Europe
105,Brunei,"277,992",,225,,"243,601",,"34,166",,"624,097",505,"717,784","1,611,437","445,431",Asia
106,Algeria,"271,432",+1,"6,881",,"182,788",,"81,763",,"5,985",152,"230,861","5,091","45,350,148",Africa
107,Nigeria,"266,463",,"3,155",,"259,850",,"3,458",11,"1,229",15,"5,708,974","26,339","216,746,934",Africa
108,Zimbabwe,"263,921",,"5,663",,"257,205",,"1,053",12,"17,214",369,"2,525,756","164,744","15,331,428",Africa
109,Uzbekistan,"250,932",,"1,637",,"241,486",,"7,809",23,"7,298",48,"1,377,915","40,077","34,382,084",Asia
110,Mozambique,"233,098",,"2,242",,"228,805",,"2,051",11,"7,044",68,"1,371,127","41,437","33,089,461",Africa
111,Martinique,"229,807",,"1,098",,N/A,N/A,N/A,12,"614,314","2,935","828,928","2,215,870","374,087",North America
112,Laos,"218,014",+2,758,,N/A,N/A,N/A,,"29,142",101,"1,233,207","164,845","7,481,023",Asia
113,Afghanistan,"209,219",+24,"7,896",,"190,554",+10,"10,769",45,"5,134",194,"1,198,378","29,405","40,754,388",Asia
114,Iceland,"208,999",,229,,N/A,N/A,N/A,2,"605,105",663,"1,996,384","5,780,036","345,393",Europe
115,Kyrgyzstan,"206,633",,"2,991",,"196,406",,"7,236",131,"30,711",445,"1,907,195","283,460","6,728,271",Asia
116,Guadeloupe,"201,852",,"1,010",,N/A,N/A,N/A,19,"504,890","2,526","938,039","2,346,306","399,794",North America
117,El Salvador,"201,785",,"4,230",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389",North America
